網站名稱,網站鏈接
聯合國,https://www.un.org/
聯合國-2030永續發展目標(SDGs),https://sdgs.un.org/
聯合國-氣候變化綱要公約,https://unfccc.int/process-and-meetings/what-is-the-united-nations-framework-convention-on-climate-change
聯合國-氣候變遷大會,https://unfccc.int/process/bodies/supreme-bodies/conference-of-the-parties-cop
IMO- IMO為減少船舶溫室氣體排放之作為,https://www.imo.org/en/mediacentre/hottopics/pages/cutting-ghg-emissions.aspx
IMO-CII、EEXI,https://www.imo.org/en/mediacentre/hottopics/pages/eexi-cii-faq.aspx
IMO-MEPC,https://www.imo.org/en/mediacentre/meetingsummaries/pages/mepc-default.aspx
CR-技術通報,https://www.crclass.org/category/circulars/page/13/
歐盟- Fit For 55,https://www.consilium.europa.eu/en/policies/fit-for-55/#what
歐盟- FuelEU Maritime,https://transport.ec.europa.eu/transport-modes/maritime/decarbonising-maritime-transport-fueleu-maritime_en
歐盟- EU ETS,https://climate.ec.europa.eu/eu-action/carbon-markets/about-eu-ets_en
IMO Future Fuels and Technology,https://futurefuels.imo.org/future-insight/alternative-fuels/scalability-and-sustainability/
Mapping a Maritime Just Transition for Seafarers,https://safety4sea.com/wp-content/uploads/2022/11/Position-Paper-Mapping-a-Maritime-Just-Transition-for-Seafarers-%E2%80%93-Maritime-Just-Transition-Task-Force-2022-OFFICIAL.pdf
Getting to Zero Coalition- ANNUAL PROGRESS REPORT ON GREEN SHIPPING CORRIDORS 2022,https://downloads.ctfassets.net/gk3lrimlph5v/7N27mSX3DMJiveCArbJOSb/9b1fcdfae3412e3e413ce5f9c278b612/The-2022-Annual-Progress-Report-on-Green-Shipping-Corridors.pdf
Getting to Zero Coalition- ANNUAL PROGRESS REPORT ON GREEN SHIPPING CORRIDORS 2023,https://downloads.ctfassets.net/gk3lrimlph5v/3BeZ3fxbL1UarcSIsSlhwj/68979b78cdea112a9a1eb2ca4eacf516/Global-Maritime-Forum_Annual-Progress-Report-on-Green-Shipping-Corridors_2023.pdf
Getting to Zero Coalition- ANNUAL PROGRESS REPORT ON GREEN SHIPPING CORRIDORS 2024 edition,https://downloads.ctfassets.net/gk3lrimlph5v/22Mimgb4JIBUmqC6ZYEIq8/651e26fa87a93a7029b6a30cdeb8d4f0/Getting_to_Zero_Coalition_Annual_progress_report_on_green_shipping_corridors_2024_edition.pdf
行政院國家永續發展委員會,https://ncsd.ndc.gov.tw/Fore/nsdn/about0/2050PathPlanning
氣候變遷因應法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020098
環境資訊中心-《氣候變遷因應法》三讀過關 碳費即將開徵 重點整理一次看,https://e-info.org.tw/node/235882
RECCESSARY-《氣候變遷因應法》懶人包一次看！從淨零到碳費機制，企業必讀5重點,https://www.reccessary.com/zh-tw/news/climate-change-response-act-taiwan
能源管理法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130002
再生能源發展條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130032
臺灣港務股份有限公司,https://www.twport.com.tw/
臺灣港務股份有限公司-企業永續發展專區-港口經營策略與永續發展,https://www.twport.com.tw/esg/report/Articles?a=3054
臺灣港務股份有限公司-企業永續發展專區-打造智慧韌性港埠,https://www.twport.com.tw/esg/report/Articles?a=3821
臺灣港務股份有限公司-企業永續發展專區-轉型低碳綠色港群,https://www.twport.com.tw/esg/report/Articles?a=3822
臺灣港務股份有限公司-企業永續發展專區-促進多元夥伴共榮,https://www.twport.com.tw/esg/report/Articles?a=3824
臺灣港務股份有限公司-企業永續發展專區-永續資訊揭露,https://www.twport.com.tw/esg/report/Articles?a=3786
臺灣港務股份有限公司-企業永續發展專區-績效亮點,https://www.twport.com.tw/esg/performance/Articles?a=3040
臺灣港務股份有限公司-企業永續發展專區-綠色港口介紹,https://www.twport.com.tw/gp/about/Guide?a=1729
臺灣港務股份有限公司-企業永續發展專區-減碳策略及成果,https://www.twport.com.tw/gp/achievement/Articles?a=1731
臺灣港務股份有限公司-企業永續發展專區-環境政策,https://www.twport.com.tw/gp/policy/Articles?a=89
臺灣港務股份有限公司-企業永續發展專區-生態港推動成果,https://www.twport.com.tw/gp/ports/Guide?a=1730
臺灣港務股份有限公司-企業永續發展專區-ESG永續報告書,https://www.twport.com.tw/esg/download/Publish?a=3105
臺灣港務股份有限公司-統計年報,https://www.twport.com.tw/media/Articles?a=447
臺灣港務股份有限公司-年度年報,https://www.twport.com.tw/media/Publish?a=308
臺灣港務公司-基隆港-環境報告書,https://kl.twport.com.tw/theme/Articles?a=2560
臺灣港務公司-臺北港-環境報告書,https://kl.twport.com.tw/theme/Articles?a=2561
臺灣港務公司-蘇澳港-環境報告書,https://kl.twport.com.tw/theme/Articles?a=2562
臺灣港務公司-臺中港-環境報告書,https://tc.twport.com.tw/theme/Articles?a=568
臺灣港務公司-高雄港-環境報告書,https://kh.twport.com.tw/theme/Articles?a=1016
臺灣港務公司-安平港-環境報告書,https://kh.twport.com.tw/theme/Articles?a=1017
臺灣港務公司-花蓮港-生態港認證,https://hl.twport.com.tw/theme/Articles?a=3294
長榮海運股份有限公司,https://www.evergreen-marine.com/emc/aboutevergreen/jsp/EMC_GreenFuelProject.jsp?lang=zh-tw
長榮海運-企業永續-企業永續經營,https://csr.evergreen-marine.com/
長榮海運-企業永續-永續報告書,https://csr.evergreen-marine.com/csr/tw/jsp/CSR_Report.jsp
陽明海運-企業ESG,https://esg.yangming.com/
陽明海運-企業ESG-永續報告書,https://esg.yangming.com/esg/sustainability_report/1/
萬海航運-企業永續ESG,https://esg.wanhai.com/wanhai/index
萬海航運-企業永續ESG-永續報告書,https://esg.wanhai.com/wanhai/download
